Rank,Artist,Album,Release Date,Genre,Rating,# of Ratings,# of Reviews,Formed,City,State,Country,CityStateCountry
1,American Football,American Football,14-Sep-99,Midwest Emo,3.78,13435,160,1997,Urbana,IL,United States,"Urbana, IL, United States"
2,Modest Mouse,This Is a Long Drive for Someone With Nothing to Think About,16-Apr-96,"Indie Rock, Lo-Fi Indie, Midwest Emo",3.78,7348,109,1993,Issaquah,WA,United States,"Issaquah, WA, United States"
3,The Brave Little Abacus,Just Got Back From the Discomfort—We're Alright,29-May-10,"Midwest Emo, Experimental Rock",3.78,3275,59,2007,Sandown,NH,United States,"Sandown, NH, United States"
4,The Brave Little Abacus,Masked Dancers: Concern in So Many Things You Forget Where You Are,1-Aug-09,"Midwest Emo, Math Rock",3.82,1725,21,2007,Sandown,NH,United States,"Sandown, NH, United States"
5,Sunny Day Real Estate,Diary,10-May-94,"Midwest Emo, Alternative Rock",3.71,6591,91,1992,Seattle,WA,United States,"Seattle, WA, United States"
6,Cap'n Jazz,"Burritos, Inspiration Point, Fork Balloon Sports, Cards in the Spokes, Automatic Biographies, Kites, Kung Fu, Trophies, Banana Peels We've Slipped On and Egg Shells We've Tippy Toed Over",1995,"Post-Hardcore, Midwest Emo",3.77,3320,42,1989,Buffalo Grove,IL,United States,"Buffalo Grove, IL, United States"
7,Sunny Day Real Estate,How It Feels to Be Something On,22-Sep-98,"Alternative Rock, Midwest Emo",3.71,2704,33,1992,Seattle,WA,United States,"Seattle, WA, United States"
8,Mineral,The Power of Failing,28-Jan-97,Midwest Emo,3.64,2343,29,1994,Houston,TX,United States,"Houston, TX, United States"
9,The Newfound Interest in Connecticut,Tell Me About the Long Dark Path Home,2005,"Midwest Emo, Post-Rock",3.67,901,9,2005,Toronto,ON,Canada,"Toronto, ON, Canada"
10,Mineral,EndSerenading,25-Aug-98,Midwest Emo,3.6,1925,21,1994,Houston,TX,United States,"Houston, TX, United States"
11,Owen,At Home With Owen,7-Nov-06,"Singer/Songwriter, Midwest Emo, Acoustic Rock, Chamber Folk",3.62,946,11,1977,Chicago,IL,United States,"Chicago, IL, United States"
12,Penfold,Amateurs and Professionals,1998,Midwest Emo,3.6,666,10,1995,Livingston,NJ,United States,"Livingston, NJ, United States"
13,Sunny Day Real Estate,Sunny Day Real Estate,7-Nov-95,Midwest Emo,3.55,1814,18,1992,Seattle,WA,United States,"Seattle, WA, United States"
14,The Van Pelt,Sultans of Sentiment,20-May-97,Midwest Emo,3.55,1026,21,1995,New York,NY,United States,"New York, NY, United States"
15,The Appleseed Cast,Low Level Owl: Volume I,21-Aug-01,"Midwest Emo, Indie Rock",3.54,912,16,1998,Los Angeles,CA,United States,"Los Angeles, CA, United States"
16,TTNG,Animals Acoustic,5-Oct-18,"Acoustic Rock, Midwest Emo, Math Rock",3.58,298,4,2004,Oxford,Oxfordshire,United Kingdom,"Oxford, Oxfordshire, United Kingdom"
17,The Promise Ring,Nothing Feels Good,14-Oct-97,Midwest Emo,3.5,1679,33,1995,Milwaukee,WI,United States,"Milwaukee, WI, United States"
18,Death Cab for Cutie,We Have the Facts and We're Voting Yes,21-Mar-00,"Indie Rock, Indie Pop, Midwest Emo",3.5,2524,44,1997,Bellingham,WA,United States,"Bellingham, WA, United States"
19,The Appleseed Cast,Mare Vitalis,14-Mar-00,"Midwest Emo, Indie Rock",3.55,614,11,1998,Los Angeles,CA,United States,"Los Angeles, CA, United States"
20,The World Is a Beautiful Place & I Am No Longer Afraid to Die,"Whenever, If Ever",18-Jun-13,Midwest Emo,3.41,3843,43,2009,Willimantic,CT,United States,"Willimantic, CT, United States"
21,Texas Is the Reason,Do You Know Who You Are?,30-Apr-96,"Midwest Emo, Emo",3.5,1263,27,1994,New York,NY,United States,"New York, NY, United States"
22,Empire! Empire! (I Was a Lonely Estate),What It Takes to Move Forward,29-Sep-09,Midwest Emo,3.46,1537,22,2006,Fenton,MI,United States,"Fenton, MI, United States"
23,Algernon Cadwallader,Some Kind of Cadwallader,25-Apr-08,Midwest Emo,3.47,1565,23,2005,Philadelphia,PA,United States,"Philadelphia, PA, United States"
24,The Jim Yoshii Pile-Up,It's Winter Here,6-Jul-01,Midwest Emo,3.54,329,2,1997,Oakland,CA,United States,"Oakland, CA, United States"
25,Jets to Brazil,Orange Rhyming Dictionary,27-Oct-98,"Indie Rock, Midwest Emo",3.5,819,19,1997,Brooklyn,NY,United States,"Brooklyn, NY, United States"
26,Pretend,"Bones in the Soil, Rust in the Oil",2009,"Post-Rock, Midwest Emo",3.51,346,4,2004,Moorpark,CA,United States,"Moorpark, CA, United States"
27,Marietta,Summer Death,21-Oct-13,Midwest Emo,3.52,420,5,2011,Philadelphia,PA,United States,"Philadelphia, PA, United States"
28,Snowing,I Could Do Whatever I Wanted If I Wanted,3-Dec-10,Midwest Emo,3.44,1504,8,2008,Lehigh Valley,PA,United States,"Lehigh Valley, PA, United States"
29,Crash of Rhinos,Distal,1-Apr-11,"Midwest Emo, Emo",3.48,761,16,2009,Derby,Derbyshire,United Kingdom,"Derby, Derbyshire, United Kingdom"
30,The Appleseed Cast,Low Level Owl: Volume II,23-Oct-01,"Midwest Emo, Indie Rock",3.48,581,6,1998,Los Angeles,CA,United States,"Los Angeles, CA, United States"
31,American Football,American Football,22-Mar-19,"Midwest Emo, Dream Pop",3.38,3985,43,1997,Urbana,IL,United States,"Urbana, IL, United States"
32,This Town Needs Guns,Animals,13-Oct-08,"Math Rock, Midwest Emo",3.42,2153,29,2004,Oxford,Oxfordshire,United Kingdom,"Oxford, Oxfordshire, United Kingdom"
33,Uchu Conbini,Somaru Oto wo Kakunin Shitara,30-Oct-13,"Midwest Emo, Math Rock",3.47,472,3,2012,Kyoto,Kyoto,Japan,"Kyoto, Kyoto, Japan"
34,Braid,Frame & Canvas,7-Apr-98,Midwest Emo,3.44,933,13,1993,Champaign,IL,United States,"Champaign, IL, United States"
35,Christie Front Drive,Christie Front Drive,1996,Midwest Emo,3.44,572,8,1993,Denver,CO,United States,"Denver, CO, United States"
36,Strictly Ballroom,Hide Here Forever,Sep-97,Midwest Emo,3.54,169,1,1994,Los Angeles,CA,United States,"Los Angeles, CA, United States"
37,The Appleseed Cast,Two Conversations,22-Jul-03,"Midwest Emo, Indie Rock",3.48,580,7,1998,Los Angeles,CA,United States,"Los Angeles, CA, United States"
38,Boys Life,Departures and Landfalls,Sep-96,Midwest Emo,3.45,495,6,1993,Kansas City,MO,United States,"Kansas City, MO, United States"
